p;ingresopcf;housingQ;Wlocation;ToiletDrain;ToiletShare;HHschooling;Wsource;ToiletFacility;children;OlderAdults;ActiveMembers;Overcrowding;WorkingHours;bToiletLoc;Hlandfill;Hfloodplain;Hshanty;kitchen;laundry;garage;bCookingFuel;MonetaryAids;GoodsAids;OtherAids;HHgender;MedicalCov;HHemployed;pondera;bWlocation;iv3;biv3;iv4;iv4new;biv5;bWsource;ToiletLoc;bToiletFacility;CookingFuel;bToiletShare
0;22500;1;1;1;1;4;1;1;0;0;2;1;40;1;1;1;1;0;1;0;1;1;1;1;0;1;1;71;1;1;1;2;2;1;1;1;1;1;1
0;5550;1;1;1;1;4;1;1;0;0;2;0.67;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;71;1;1;1;2;2;1;1;1;1;1;1
0;21000;1;1;1;1;4;1;1;0;0;1;0.5;31;1;1;1;1;0;0;1;1;1;1;0;1;1;1;340;1;1;1;9;9;1;1;1;1;1;1
0;5100;1;1;1;1;4;1;1;1;0;4;2.5;48;1;1;1;1;1;0;0;1;1;1;1;0;1;1;453;1;1;1;1;1;1;1;1;1;1;1
0;8333.33;1;1;1;1;4;1;1;1;0;2;1.5;48;1;1;1;1;1;1;0;1;1;1;1;0;1;1;127;1;1;1;9;9;1;1;1;1;1;1
0;5250;1;1;1;1;4;1;1;1;0;3;1.33;9;1;1;1;1;1;1;1;1;0;1;1;1;0;1;244;1;1;1;9;9;1;1;1;1;1;1
0;11000;1;1;1;1;6;1;1;1;0;2;1.5;40;1;1;1;1;1;0;0;1;1;1;1;1;1;1;454;1;1;1;2;2;1;1;1;1;1;1
0;17500;1;1;1;1;6;1;1;2;0;2;1;50;1;1;1;1;1;1;1;1;1;1;1;0;1;1;120;1;1;1;2;2;1;1;1;1;1;1
0;12260;1;1;1;1;6;1;1;0;1;4;0.83;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;438;1;1;1;2;2;1;1;1;1;1;1
0;16000;1;1;1;1;6;1;1;0;0;1;0.5;3;1;1;1;1;1;0;0;1;1;1;1;1;1;1;127;1;1;1;1;1;1;1;1;1;1;1
0;4866.67;1;1;1;1;3;1;1;0;1;2;0.6;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;249;1;1;1;1;1;1;1;1;1;1;1
0;6400;2;1;1;1;2;1;1;0;0;1;0.5;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;7;1;1;1;1;1;0;1;1;1;1;1
0;13850;1;1;1;1;4;1;1;0;1;3;1.33;50;1;1;1;1;1;1;1;1;1;1;1;0;1;1;292;1;1;1;1;1;1;1;1;1;1;1
1;4000;1;1;1;1;5;1;1;0;0;1;0.33;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;223;1;1;1;2;2;1;1;1;1;1;1
0;10166.7;1;1;1;1;4;1;1;0;0;3;1;60;1;1;1;1;1;0;0;1;1;1;1;0;1;1;138;1;1;1;2;2;1;1;1;1;1;1
0;5040;2;1;1;1;4;1;1;3;0;2;1.67;45;1;1;1;1;1;0;0;1;1;1;1;0;0;1;450;1;1;1;1;1;0;1;1;1;1;1
0;16000;1;1;1;1;6;1;1;1;0;1;1;40;1;1;1;1;1;1;0;1;1;1;1;1;1;1;457;1;1;1;2;2;1;1;1;1;1;1
0;7570;1;1;1;1;5;1;1;0;2;3;1.25;32;1;1;1;1;1;1;0;1;1;1;1;1;1;1;470;1;1;1;2;2;1;1;1;1;1;1
0;7400;1;1;1;1;4;1;1;0;2;0;0.67;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;470;1;1;1;2;2;1;1;1;1;1;1
0;76000;1;1;1;1;6;1;1;0;1;0;0.5;60;1;1;1;1;1;0;0;1;1;1;1;1;1;1;167;1;1;1;9;9;1;1;1;1;1;1
1;2166.67;1;1;1;1;2;1;1;0;1;2;0.75;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;293;1;1;1;4;4;1;1;1;1;1;1
0;6300;1;1;1;1;4;1;1;0;1;0;0.25;0;1;1;0;1;1;0;0;1;1;0;1;1;1;0;84;1;1;1;9;9;1;1;1;1;1;1
